strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
OA11	ve405	Allicock_2021	Yale	2014-XX-XX	Trinidad-and-Tobago	1	1_V	0	1	0	0	2014	2	2	2
OA12	ve4012	Allicock_2021	Yale	2014-XX-XX	Trinidad-and-Tobago	1	1_V	0	1	0	0	2014	2	2	2
KJ189350.1	DENV-1/PR/BID-V7704/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189351.1	DENV-1/PR/BID-V7705/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189352.1	DENV-1/PR/BID-V7706/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189353.1	DENV-1/PR/BID-V7707/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189354.1	DENV-1/PR/BID-V7708/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189355.1	DENV-1/PR/BID-V7709/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189356.1	DENV-1/PR/BID-V7710/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189357.1	DENV-1/PR/BID-V7712/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189358.1	DENV-1/PR/BID-V7713/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KJ189359.1	DENV-1/PR/BID-V7719/2012	Zody_2014	NCBI	2012-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2012	10	10	10
KU509249.1	DENV1-17388	Shihada_2017	NCBI	2012-XX-XX	Jamaica	1	1_V	0	1	0	0	2012	2	1	2
MG877553.1	Haiti2012	Fontaine_2018	NCBI	2012-XX-XX	Haiti	1	1_V	0	1	0	0	2012	2	1	2
OA10	ve346	Allicock_2021	Yale	2012-XX-XX	Trinidad-and-Tobago	1	1_V	0	1	0	0	2012	1	1	1
OA07	vr18	Allicock_2021	Yale	2011-XX-XX	Trinidad-and-Tobago	1	1_V	0	1	0	0	2011	3	3	3
OA08	vr19	Allicock_2021	Yale	2011-XX-XX	Trinidad-and-Tobago	1	1_V	0	1	0	0	2011	3	3	3
OA09	vr21	Allicock_2021	Yale	2011-XX-XX	Trinidad-and-Tobago	1	1_V	0	1	0	0	2011	3	3	3
KJ189360.1	DENV-1/PR/BID-V7722/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189361.1	DENV-1/PR/BID-V8181/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189362.1	DENV-1/PR/BID-V8182/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189363.1	DENV-1/PR/BID-V8183/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189364.1	DENV-1/PR/BID-V8184/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189365.1	DENV-1/PR/BID-V8185/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189366.1	DENV-1/PR/BID-V8187/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KJ189367.1	DENV-1/PR/BID-V8188/2010	Zody_2014	NCBI	2010-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2010	10	8	10
KU509264.1	DENV1-18037	Shihada_2017	NCBI	2010-XX-XX	Haiti	1	1_V	0	1	0	0	2010	1	1	1
DH145	BID V852	Ott_2022	Yale	2006-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2006	25	25	25
MW945426.1	DENV1/PUERTORICO/2006/BID-V852	Katzelnick_2021	NCBI	2006-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2006	25	25	25
EU482591.1	DENV-1/US/BID-V852/2006	Henn_2008	NCBI	2006-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	2006	25	25	25
OA05	CAREC_0101765	Allicock_2021	Yale	2001-XX-XX	Barbados	1	1_V	0	1	0	0	2001	2	2	2
FJ390378.1	DENV-1/US/BID-V1738/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
FJ390379.1	DENV-1/US/BID-V1741/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
FJ390380.1	DENV-1/US/BID-V1742/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
FJ410173.1	DENV-1/US/BID-V2093/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
FJ205872.1	DENV-1/US/BID-V1739/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
FJ205873.1	DENV-1/US/BID-V1740/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
EU482567.1	DENV-1/US/BID-V1162/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
EU482592.1	DENV-1/US/BID-V853/1998	Henn_2008	NCBI	1998-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1998	47	47	47
KF921911.1	DENV-1/PR/BID-V2141/1996	Zody_2014	NCBI	1996-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1996	18	18	18
FJ478457.1	DENV-1/US/BID-V2138/1996	Henn_2008	NCBI	1996-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1996	18	18	18
FJ410182.1	DENV-1/US/BID-V2131/1996	Henn_2008	NCBI	1996-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1996	18	18	18
FJ410188.1	DENV-1/US/BID-V2139/1996	Henn_2008	NCBI	1996-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1996	18	18	18
FJ410189.1	DENV-1/US/BID-V2140/1996	Henn_2008	NCBI	1996-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1996	18	18	18
FJ547086.1	DENV-1/US/BID-V2130/1995	Henn_2009	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ390374.1	DENV-1/US/BID-V1734/1995	Henn_2008	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ410174.1	DENV-1/US/BID-V2094/1995	Henn_2008	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ410180.1	DENV-1/US/BID-V2128/1995	Henn_2008	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ410181.1	DENV-1/US/BID-V2129/1995	Henn_2008	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ205874.1	DENV-1/US/BID-V1743/1995	Henn_2008	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ205875.1	DENV-1/US/BID-V1744/1995	Henn_2008	NCBI	1995-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1995	17	17	17
FJ410175.1	DENV-1/US/BID-V2095/1994	Henn_2008	NCBI	1994-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1994	58	58	58
FJ410179.1	DENV-1/US/BID-V2127/1994	Henn_2008	NCBI	1994-XX-XX	Puerto-Rico	1	1_V	0	1	0	0	1994	58	58	58
