strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
KF955465.1	DENV-3/PR/BID-V2101/2000	Zody_2014	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
KF955466.1	DENV-3/PR/BID-V2102/2000	Zody_2014	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547071.1	DENV-3/US/BID-V2103/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547072.1	DENV-3/US/BID-V2106/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547073.1	DENV-3/US/BID-V2107/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547074.1	DENV-3/US/BID-V2108/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547075.1	DENV-3/US/BID-V2110/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547076.1	DENV-3/US/BID-V2111/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547077.1	DENV-3/US/BID-V2112/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ547078.1	DENV-3/US/BID-V2113/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ562107.1	DENV-3/US/BID-V2100/2000	Henn_2009	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ410176.1	DENV-3/US/BID-V2104/2000	Henn_2008	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
FJ410177.1	DENV-3/US/BID-V2105/2000	Henn_2008	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
EU726768.1	DENV-3/US/BID-V1465/2000	Henn_2008	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
EU687221.1	DENV-3/US/BID-V1460/2000	Henn_2008	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
EU529697.1	DENV-3/US/BID-V1077/2000	Henn_2008	NCBI	2000-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2000	20	20	20
KT726340.1	Cuba_118_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726341.1	Cuba_167_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726342.1	Cuba_553_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726343.1	Cuba_557_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726344.1	Cuba_580_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726349.1	Cuba_15_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726350.1	Cuba_26_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726351.1	Cuba_568_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726352.1	Cuba_463_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726353.1	Cuba_492_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726354.1	Cuba_504_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726355.1	Cuba_513_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726356.1	Cuba_523_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726357.1	Cuba_546_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726358.1	Cuba_547_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726359.1	Cuba_558_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KT726360.1	Cuba_73_2001	Rodriguez-Roche_2016	NCBI	2001-XX-XX	Cuba	3	3_III	0	1	0	0	2001	17	17	17
KF955468.1	DENV-3/PR/BID-V2116/2001	Zody_2014	NCBI	2001-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2001	12	12	12
GQ868616.1	DENV-3/LC/BID-V3929/2001	Henn_2009	NCBI	2001-XX-XX	Saint-Lucia	3	3_III	0	1	0	0	2001	2	2	2
FJ898462.1	DENV-3/AI/BID-V2976/2001	Henn_2009	NCBI	2001-XX-XX	Anguilla	3	3_III	0	1	0	0	2001	1	1	1
FJ898463.1	DENV-3/LC/BID-V2979/2001	Henn_2009	NCBI	2001-XX-XX	Saint-Lucia	3	3_III	0	1	0	0	2001	2	2	2
FJ547079.1	DENV-3/US/BID-V2114/2001	Henn_2009	NCBI	2001-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2001	12	12	12
FJ547080.1	DENV-3/US/BID-V2115/2001	Henn_2009	NCBI	2001-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2001	12	12	12
FJ547081.1	DENV-3/US/BID-V2117/2001	Henn_2009	NCBI	2001-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2001	12	12	12
FJ547082.1	DENV-3/US/BID-V2118/2001	Henn_2009	NCBI	2001-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2001	12	12	12
DH169	CAREC 01-11828	Ott_2022	Yale	2001-XX-XX	Barbados	3	3_III	0	1	0	0	2001	2	2	2
KT726345.1	Cuba_11_2002	Rodriguez-Roche_2016	NCBI	2002-XX-XX	Cuba	3	3_III	0	1	0	0	2002	5	5	5
KT726346.1	Cuba_16_2002	Rodriguez-Roche_2016	NCBI	2002-XX-XX	Cuba	3	3_III	0	1	0	0	2002	5	5	5
KT726347.1	Cuba_17_2002	Rodriguez-Roche_2016	NCBI	2002-XX-XX	Cuba	3	3_III	0	1	0	0	2002	5	5	5
KT726348.1	Cuba_21_2002	Rodriguez-Roche_2016	NCBI	2002-XX-XX	Cuba	3	3_III	0	1	0	0	2002	5	5	5
KT726361.1	Cuba_20_2002	Rodriguez-Roche_2016	NCBI	2002-XX-XX	Cuba	3	3_III	0	1	0	0	2002	5	5	5
GQ868617.1	DENV-3/TT/BID-V3928/2002	Henn_2009	NCBI	2002-XX-XX	Trinidad-and-Tobago	3	3_III	0	1	0	0	2002	2	2	2
FJ898459.1	DENV-3/TT/BID-V2982/2002	Henn_2009	NCBI	2002-XX-XX	Trinidad-and-Tobago	3	3_III	0	1	0	0	2002	2	2	2
FJ547083.1	DENV-3/US/BID-V2119/2002	Henn_2009	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
FJ547084.1	DENV-3/US/BID-V2122/2002	Henn_2009	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
FJ478456.1	DENV-3/US/BID-V2123/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
FJ373306.1	DENV-3/US/BID-V1478/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
FJ390373.1	DENV-3/US/BID-V1732/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
FJ410178.1	DENV-3/US/BID-V2120/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
EU854298.1	DENV-3/US/BID-V1477/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
EU687196.1	DENV-3/US/BID-V1476/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
EU687233.1	DENV-3/US/BID-V1473/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
EU687234.1	DENV-3/US/BID-V1475/2002	Henn_2008	NCBI	2002-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2002	12	12	12
FJ390371.1	DENV-3/US/BID-V1729/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
FJ390372.1	DENV-3/US/BID-V1730/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
FJ205870.1	DENV-3/US/BID-V1731/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU726769.1	DENV-3/US/BID-V1490/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU687197.1	DENV-3/US/BID-V1480/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU687198.1	DENV-3/US/BID-V1481/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU687239.1	DENV-3/US/BID-V1491/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU529702.1	DENV-3/US/BID-V1089/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU482564.1	DENV-3/US/BID-V1078/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
EU482595.1	DENV-3/US/BID-V858/2003	Henn_2008	NCBI	2003-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2003	17	17	17
FJ850055.1	DENV-3/US/BID-V1605/2004	Henn_2009	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ850056.1	DENV-3/US/BID-V1611/2004	Henn_2009	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ373302.1	DENV-3/US/BID-V1615/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ182004.1	DENV-3/US/BID-V1604/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ182005.1	DENV-3/US/BID-V1614/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ182006.1	DENV-3/US/BID-V1616/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024465.1	DENV-3/US/BID-V1606/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024466.1	DENV-3/US/BID-V1607/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024467.1	DENV-3/US/BID-V1608/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024468.1	DENV-3/US/BID-V1609/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024469.1	DENV-3/US/BID-V1610/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024470.1	DENV-3/US/BID-V1612/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ024471.1	DENV-3/US/BID-V1613/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
EU529704.1	DENV-3/US/BID-V1091/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
EU529705.1	DENV-3/US/BID-V1092/2004	Henn_2008	NCBI	2004-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2004	24	24	24
FJ182007.1	DENV-3/US/BID-V1617/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182008.1	DENV-3/US/BID-V1618/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182009.1	DENV-3/US/BID-V1619/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182010.1	DENV-3/US/BID-V1620/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182011.1	DENV-3/US/BID-V1621/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182037.1	DENV-3/US/BID-V1622/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182038.1	DENV-3/US/BID-V1623/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182039.1	DENV-3/US/BID-V1624/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182040.1	DENV-3/US/BID-V1625/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
FJ182041.1	DENV-3/US/BID-V1626/2005	Henn_2008	NCBI	2005-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2005	19	18	19
MW945428.1	DENV3/PUERTORICO/2006/429965	Katzelnick_2021	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
KF955456.1	DENV-3/PR/BID-V1728/2006	Zody_2014	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
FJ547085.1	DENV-3/US/BID-V2126/2006	Henn_2009	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
EU529692.1	DENV-3/US/BID-V1044/2006	Henn_2008	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
EU529698.1	DENV-3/US/BID-V1079/2006	Henn_2008	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
EU529699.1	DENV-3/US/BID-V1080/2006	Henn_2008	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
EU482555.1	DENV-3/US/BID-V1043/2006	Henn_2008	NCBI	2006-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2006	25	25	25
KU509278.1	DENV3-254	Shihada_2017	NCBI	2007-XX-XX	Barbados	3	3_III	0	1	0	0	2007	1	1	1
EU596492.1	DENV-3/US/BID-V1415/2007	Henn_2008	NCBI	2007-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2007	7	7	7
EU596493.1	DENV-3/US/BID-V1416/2007	Henn_2008	NCBI	2007-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2007	7	7	7
EU596494.1	DENV-3/US/BID-V1417/2007	Henn_2008	NCBI	2007-XX-XX	Puerto-Rico	3	3_III	0	1	0	0	2007	7	7	7
DH162	CAREC 08-10848	Ott_2022	Yale	2008-XX-XX	Saint-Kitts-and-Nevis	3	3_III	0	1	0	0	2008	1	1	1
Yale-DN00063	190262	FL-DPH	Yale	2016-01-13	Cuba	3	3_III	1	1	0	1	2016	2	2	2
Yale-DN00296	190389	FL-DPH	Yale	2016-06-11	Jamaica	3	3_III	1	1	0	1	2016	4	4	4
Yale-DN00459-1	5018	Ramon y Cajal	Yale	2022-07-18	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00462-1	5025	Ramon y Cajal	Yale	2022-08-16	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00345-1	190098	FL-DPH	Yale	2014-07-02	Florida(USA)	3	3_I	1	0	1	1	2014	1	1	1
Yale-DN00053	190403	FL-DPH	Yale	2016-09-12	Jamaica	3	3_III	1	1	0	1	2016	4	4	4
Yale-DN00490-2	200237	FL-DPH	Yale	2019-02-01	Jamaica	3	3_III	1	1	0	1	2019	6	6	6
Yale-DN00486	200301	FL-DPH	Yale	2019-01-15	Jamaica	3	3_III	1	1	0	1	2019	6	6	6
Yale-DN00525	200101	FL-DPH	Yale	2019-07-15	Jamaica	3	3_III	1	1	0	1	2019	6	6	6
Yale-DN00584	200390	FL-DPH	Yale	2019-08-12	Jamaica	3	3_III	1	1	0	1	2019	6	6	6
Yale-DN00761	200045	FL-DPH	Yale	2019-10-19	Jamaica	3	3_III	1	1	0	1	2019	6	6	6
Yale-DN00711	200415	FL-DPH	Yale	2019-11-06	Jamaica	3	3_III	1	1	0	1	2019	6	6	6
Yale-DN00945	230300	FL-DPH	Yale	2022-12-11	Florida(USA)	3	3_III	1	0	1	1	2022	31	31	11
Yale-DN00954	230425	FL-DPH	Yale	2022-12-22	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00957	230197	FL-DPH	Yale	2022-12-23	Florida(USA)	3	3_III	1	0	1	1	2022	31	31	11
Yale-DN00985	220144	FL-DPH	Yale	2020-11-07	Saint-Lucia	3	3_III	1	1	0	1	2020	1	1	1
Yale-DN00994	220199	FL-DPH	Yale	2021-08-12	Colombia	3	3_III	1	0	0	1	2021	6	6	6
Yale-DN01009	220286	FL-DPH	Yale	2020-01-17	Jamaica	3	3_III	1	1	0	1	2020	1	1	1
Yale-DN01020	220314	FL-DPH	Yale	2022-07-17	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01021	220151	FL-DPH	Yale	2022-07-06	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01024	220189	FL-DPH	Yale	2022-07-28	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01026	220227	FL-DPH	Yale	2022-08-15	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01027	230154	FL-DPH	Yale	2022-07-28	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01030	230246	FL-DPH	Yale	2022-08-18	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01031	230485	FL-DPH	Yale	2022-08-14	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01033	230517	FL-DPH	Yale	2022-08-10	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01034	230062	FL-DPH	Yale	2022-08-18	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01038	230177	FL-DPH	Yale	2022-08-23	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01042	230121	FL-DPH	Yale	2022-08-24	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01043	230389	FL-DPH	Yale	2022-08-30	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01046	230115	FL-DPH	Yale	2022-09-14	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01047	230295	FL-DPH	Yale	2022-09-15	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01049	230461	FL-DPH	Yale	2022-12-04	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01052	190272	FL-DPH	Yale	2016-07-27	Jamaica	3	3_III	1	1	0	1	2016	4	4	4
Yale-DN01054	230266	FL-DPH	Yale	2022-11-30	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01055	230242	FL-DPH	Yale	2022-12-04	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01056	230190	FL-DPH	Yale	2022-12-06	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01057	230069	FL-DPH	Yale	2022-12-06	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01058	230195	FL-DPH	Yale	2022-11-30	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01063	230009	FL-DPH	Yale	2022-12-08	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01064	230212	FL-DPH	Yale	2022-12-16	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01065	230359	FL-DPH	Yale	2022-12-18	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01070	230223	FL-DPH	Yale	2022-12-18	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01072	230025	FL-DPH	Yale	2022-12-22	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01073	230207	FL-DPH	Yale	2022-12-15	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01074	230008	FL-DPH	Yale	2022-12-18	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01076	230260	FL-DPH	Yale	2022-12-16	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN01077	230321	FL-DPH	Yale	2023-01-01	Cuba	3	3_III	1	1	0	1	2023	1	1	1
Yale-DN00819	230421	FL-DPH	Yale	2022-08-23	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00822	230494	FL-DPH	Yale	2022-08-31	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00823	230540	FL-DPH	Yale	2022-08-28	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00828	230511	FL-DPH	Yale	2022-08-31	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00829	230451	FL-DPH	Yale	2022-09-05	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00830	230520	FL-DPH	Yale	2022-09-08	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00831	230504	FL-DPH	Yale	2022-09-03	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00832	230548	FL-DPH	Yale	2022-09-01	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00834	230402	FL-DPH	Yale	2022-09-07	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00844	230419	FL-DPH	Yale	2022-09-25	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00845	230459	FL-DPH	Yale	2022-09-23	Guyana	3	3_III	1	0	0	1	2022	1	1	1
Yale-DN00847	230552	FL-DPH	Yale	2022-09-17	Cuba	3	3_III	1	1	0	1	2022	195	195	195
Yale-DN00848	230513	FL-DPH	Yale	2022-09-26	Cuba	3	3_III	1	1	0	1	2022	195	195	195
